cid,mp
24085,277.00
807,113.70
241,5.56
2519,236.20
2537,176.50
31239,80.00
176,16.64
6386,25.81
8078,6.47
7966,25.93
679,18.45
31275,11.75
713,2.55
6582,28.00
6404,53.00
7416,5.70
996,40.91
31347,27.60
7950,62.80
7809,13.30
24670,12.20
6427,26.00
1176,132.70
7923,52.56
931,80.20
7768,69.30
196,151.50
16402,42.00
6579,84.50
991,6.10
12310947,104.00
3036,108.50
1486,138.00
7175,96.10
25514,542.00
2345,19.00
11029,990.00
11178,130.00
5770,264.50
2724385,249.00
441207,255.50
1130,164.00
2707,57.00
5333,165.50
3598,165.50
5147,140.00
14798,323.00
3014024,241.02
24820,1127.00
25000,102.50
14786,1935.00
24965,735.00
6093192,350.00
26264,1000.00
2871,95.20
24978,340.00
13669119,284.00
24611,498.00
10999,200.00
10692,156.00
18616,255.50
164827,1326.00
24593,504.00
6432705,606.00
9740,66.00
5460341,842.00
24962,1000.00
7533,169.50
25154,360.00
24947,568.00
9816930,568.00
10986,255.00
6521,76.50
23973,32.07
6294,109.50
7184,68.50
222528,177.00
8040,30.00
442021,178.00
3030,114.90
3031,144.50
8342,195.00
11237,31.00
6641,40.00
6492,32.90
969491,175.50
16211214,75.00
2286,10.00
10461,13.50
8086,37.00
171548,232.00
26077,1127.00
7769,9.00
7773,49.00
31250,40.00
24588,415.00
2943,155.50
5273469,39.00
2513,195.00
7187,104.50
24535,250.00
656671,150.00
3120,158.50
2730,41.50
3224,106.00
12932,38.40
444679,170.00
14773,450.00
24587,200.00
3293,0.00
24798,590.00
6877,13.00
26059,414.00
2319,65.75
17531,53.00
2256,177.00
54680660,112.00
24575,140.90
24569,31.10
71586773,310.00
14771,315.00
234,35.00
7389,232.00
9351,273.00
14794,655.00
24630,171.00
24554,287.00
24814,73.40
24615,97.00
24557,8.30
24294,4.00
7477,22.00
24380,304.00
518696,1539.00
24458,674.00
449809,1377.00
6097028,280.00
24639,130.00
22985,169.70
25487,551.00
24656,200.00
2723923,116.00
14935,125.60
24600,180.00
24595,185.00
517232,60.00
10690,131.00
7027,155.00
5793,146.00
14013,107.00
753,18.10
5283468,25.00
750,290.00
14982,220.00
7860,15.00
5988,185.50
5359268,660.00
5460467,1287.00
6623,160.00
14915,197.00
4685,53.10
1493,114.80
7095,69.00
700,10.40
3301,8.50
7839,9.80
9321,1.54
62714,688.70
23930,1246.00
3589,95.50
15830,198.00
517165,114.00
16247,93.50
8630,200.50
3610,68.25
785,170.50
787,33.00
8438,37.00
24479,246.00
24243,1583.00
54675810,174.00
643460,134.50
4947,148.00
7794,147.00
798,52.00
2124,1291.00
24685,90.00
4944,87.00
24012,192.60
8042,3.00
8128,2.00
8268,77.50
24931,410.00
24924,470.00
14827,887.00
9794739,1113.00
11025,177.50
11616,190.00
24464,1130.00
3028194,180.54
28112,125.00
224478,848.20
5462224,651.00
73981,350.00
24840,250.00
24083,1124.00
4004,3.85
9298,41.00
5143,228.00
338,159.00
1089,58.00
24647,8.50
5951,228.00
24261,1710.00
24470,212.00
7158,180.00
5360545,97.82
517045,324.00
24533,210.00
23667548,218.00
33557,275.00
516892,50.00
5462222,63.50
4311764,400.00
15666,149.60
8418,216.00
24482,131.00
243,122.35
73415800,1540.00
10476,52.00
444972,287.00
11177,88.50
6251,167.00
30318,40.60
5054,109.80
31292,107.00
24268,308.00
173000778,250.00
2724247,200.00
516902,248.00
8929,563.00
25408,356.70
23672064,200.00
2723810,253.00
24489,52.00
5238,651.00
23266,1089.00
23664719,135.00
23668193,271.00
23665730,233.50
2735111,270.00
23679004,174.50
14803,460.00
9357,95.00
24934,710.00
14804,1180.00
16248,119.00
24550,213.00
24813,1.25
24641,120.00
24848,570.00
14807,215.00
20848,151.50
11726,200.00
1110,188.00
7922,119.60
31248,125.00
1057,133.00
