cid,mp
14820,"2002 °C"
4510,"Crystalizes in 2 forms: labile form, 2.8 °C; stable form, 13.5 °C"
24085,"277 °C"
807,"113.7 °C"
241,"5.558 °C"
2519,"236.2 °C"
2537,"174-179 °C"
31239,"80 °C"
7835,"-25.6 °C"
176,"16.635 °C"
180,"-94.9 °C"
6342,"-44 °C"
6115,"-6.0 °C"
7519,"-37.3 °C"
7505,"-12.82 °C"
244,"-15.2 °C"
7961,"-30.6 °C (SOLIDIFIES)"
263,"-88.6 °C"
6560,"-108 °C"
6386,"25.81 °C"
8146,"Freezing point = -54.0 °C"
6348,"-111.7 °C"
5943,"-22.2 °C"
8076,"-70 °C"
7964,"-45.2 °C"
6212,"-63.47 °C"
7953,"-44.5 °C"
9250,"-80 °C"
9265,"-8.0 °C"
8078,"6.47 °C"
7966,"25.93 °C"
9253,"-93.4 °C"
15600,"-29.7 °C"
6365,"-96.93 °C"
11,"-35.6 °C"
6344,"-95 °C"
8179,"-45 °C"
8117,"-10.4 °C"
3283,"-116.3 °C (stable crystals); -123.3 °C (metastable crystals)"
12375,"-74 °C"
8150,"-68 °C"
8071,"-58 °C; ALSO REPORTED AS -71 °C"
31374,"-18.59 °C"
6403,"-99.9 °C"
6589,"-128.8 °C"
6228,"-60.3 °C"
7937,"-5.8 °C"
679,"18.45 °C"
31275,"11.75 °C"
702,"-114.14 °C"
8857,"-83.8 °C"
7500,"-94.95 °C"
713,"2.55 °C"
8029,"-85.61 °C"
8900,"-90.549 °C"
8058,"-95.35 °C"
7947,"-44.8 °C"
887,"-97.8 °C"
6582,"28 °C"
6584,"-98.2 °C"
8134,"Less than -84 °C"
8019,"-85.1 °C"
7962,"-126.6 °C"
6569,"-86.67 °C"
31254,"-5.4 °C"
7975,"-66.65 °C"
8083,"-4.8 °C"
6404,"53 °C"
7416,"5.7 °C"
6587,"-89.42 °C"
6375,"-28.7 °C"
8141,"-53.47 °C"
356,"-56.73 °C"
8003,"-129.67 °C"
10041,"-16.37 °C"
6276,"-79 °C"
7674,"-30.0 °C"
996,"40.91 °C"
8082,"-7 °C"
1031,"-127 °C"
3776,"-87.9 °C"
7854,"-91.8 °C"
1049,"-41.6 °C"
8027,"-23.4 °C"
31268,"-57.79 °C"
7047,"-14.78 °C"
31347,"27.4-27.8 °C"
6591,"-42.3 °C"
31373,"-22.2 °C"
8028,"-108.44 °C"
8894,"-49.2 °C"
8404,"-35.8 °C"
12437,"-1.2 °C"
8030,"-39.4 °C"
1140,"-94.9 °C"
7950,"62.8 °C"
6575,"-84.7 °C"
7237,"-25.16 °C"
7929,"-47.85 °C"
7809,"13.3 °C"
24670,"12.2 °C"
6389,"-110.44 °C"
6391,"-157.1 °C"
6392,"-181 °C"
6384,"-172 °C"
6370,"-130.4 °C"
6372,"-157.42 °C"
6427,"26 °C"
6428,"-36.22 °C"
6429,"-92.53 °C"
6430,"-99.4 °C"
7909,"-85 °C"
10900,"-57 °C"
31272,"-77 °C"
7896,"< -50 °C"
8054,"-65.1 °C"
6278,"-30 °C"
7895,"-76.8 °C"
7915,"-73.4 °C"
7997,"-93 °C"
222,"-77.7 °C"
1176,"132.70 °C"
712,"-92 °C"
768,"-13.28 °C"
6326,"-80.7 °C (triple point)"
297,"-182.566 °C"
6325,"-169.18 °C"
6338,"-153.84 °C"
6354,"-111.7 °C"
7501,"-30.65 °C"
7406,"-96.0 °C"
6378,"-112.13 °C"
1030,"-60 °C"
8252,"-185.30 °C"
7855,"-83.51 °C"
7847,"-87.8 °C"
7850,"-134.5 °C"
7844,"-185.33 °C"
